draft_id,user_id,username,draft_created_time,draft_filled_time,draft_time,draft_completed_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,player_id,position_name,projection_adp,source,pick_order,overall_pick_number,team_pick_number,pick_created_time,pick_points,roster_points,made_playoffs
73c4ea60-a2ed-4f82-9f09-a6ea4de57f08,6a452754-a063-44a4-9929-05793c523a1c,draftenomics,2023-04-24 22:39:39-05,2023-09-03 03:17:29-05,2023-09-03 03:18:34-05,2023-09-03 04:10:43-05,30,9b741a36-b2b5-4cdf-9e67-5873f3f6116b,8900c084-8d87-44e2-bac0-56362f4f3163,160003b8-a6e8-4168-a1d3-1bd7c495584b,1,Garrett Wilson,63729550-4edb-4bb9-8a4f-2fa66c107b31,WR,14.03,user,11,11,1,2023-09-03 03:20:46-05,107.4,1689.8,0
9b4d97ee-b488-4976-9908-07984b12cad6,307216bc-bd2b-411a-9d1d-307c6109e020,copiuspine,2023-04-24 22:39:47-05,2023-05-10 13:00:41-05,2023-05-10 13:01:47-05,2023-05-10 13:45:33-05,30,8dc4c41e-8832-4b96-a655-41b9aa4f46b1,0ea1cf55-8637-4b1b-9b84-2b8e82f036c3,09b1217e-8810-439b-a8a9-b4e650e99abc,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.16,user,3,3,1,2023-05-10 13:02:03-05,285.4,1689.76,0
3bde819b-0d1d-413b-ab09-c9f566d3786d,33d4e6b9-db35-4ed2-859c-7dbd163ed411,brewski17,2023-04-24 22:39:44-05,2023-09-04 23:43:05-05,2023-09-04 23:44:10-05,2023-09-05 00:27:13-05,30,572d8fec-5491-42b6-ad0f-d7b5be409c58,cfdd1f43-21c1-42d0-a9d8-76858b3b866a,d2dd451a-9a97-4e0a-834d-d199e7cde820,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,12.19,user,11,11,1,2023-09-04 23:46:33-05,227.5,1689.5,0
3382b87b-5f14-434e-991b-1c63ea3fd4f0,4cf4d6c5-28ed-4130-a9e7-485b9fd60bc1,yadgy123,2023-04-24 22:39:41-05,2023-08-30 23:17:22-05,2023-08-30 23:18:30-05,2023-09-05 14:19:32-05,3600,ff41c490-f49c-41d3-a4f0-57aa9425cfdf,b0855b11-c3eb-40c1-a6fa-20cc751e5355,fd4ee644-87de-43a1-bfc2-dd207a38bddf,1,Amon-Ra St. Brown,b4d7a866-815f-40c1-8f76-7608b4ab1c01,WR,13.47,user,11,11,1,2023-08-31 16:16:07-05,170.3,1689.28,0
1a7a1c26-112f-4246-b3ce-8c51fb39a724,c3d0cbc6-402d-45cc-bf73-e2a114d8c9d8,jonnycashbp,2023-04-24 22:39:27-05,2023-05-01 01:00:14-05,2023-05-01 01:01:19-05,2023-05-01 01:59:25-05,30,8fc84bf4-1656-40ab-b118-effe0044d8a5,40cef7ab-f9ee-4c52-9ffe-2c8c99c4b27e,5b904e49-14a7-4736-acd6-9b9984b333a3,1,A.J. Brown,dd48e78f-5a11-4056-b21e-94789a31ee6e,WR,9.4,user,6,6,1,2023-05-01 01:02:20-05,204.6,1689.18,0
bd98a63d-c900-4d36-86e8-776e017ae50e,eaa0de8e-fcc3-4144-8b19-bfa33937eb8b,jmafia33,2023-04-24 22:42:00-05,2023-07-30 23:50:04-05,2023-07-30 23:51:11-05,2023-07-31 00:37:38-05,30,0d1b975d-d5a6-444c-b4c1-992c9344e63e,0c29a02f-0bec-4a0e-85cf-bb4d34084430,f60d227e-d696-4ecf-b9ca-073910cfd9b7,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.56,user,4,4,1,2023-07-30 23:51:53-05,285.4,1689.06,0
e46292af-b7ee-49e5-b9dc-7a2644062617,ec5499b8-9f68-42e9-84aa-340e6de2f96e,alec123,2023-04-24 22:41:41-05,2023-08-22 14:03:58-05,2023-08-22 14:05:04-05,2023-08-22 14:47:27-05,30,0e651a90-2cea-448d-8319-1a52a0214f22,a0b1f3cb-4666-4e30-aa07-4b8d22aafa3e,6c102da3-ef52-4e0c-a663-c0e7353e103d,1,Stefon Diggs,25ea41e7-0529-48c6-ba65-7648bb7f9ed2,WR,8.59,user,10,10,1,2023-08-22 14:06:49-05,159.6,1689.16,0
4a5070b7-9713-4f75-9e8a-fa9e8ebe89c5,53ffec31-b8ae-4c74-af61-786ee5775b94,richarzard,2023-04-24 22:39:35-05,2023-09-02 19:54:47-05,2023-09-02 19:55:52-05,2023-09-02 20:41:38-05,30,6dd01cc2-f8f3-4633-973c-375317aa9d30,6bb1b5f3-e0c6-4676-be29-116bb8a8754f,3cd21bd8-dd57-429f-8ec9-93191711434e,1,Tyreek Hill,84cf37a2-d9f9-4315-a56a-c003a186023d,WR,4.09,user,5,5,1,2023-09-02 19:56:28-05,266.1,1689.02,0
88215d7e-6f63-4073-aaa6-6656498871ed,1a46dd86-bfa9-47b3-99a7-4140ee88de17,jhage,2023-04-24 22:41:48-05,2023-08-20 15:08:31-05,2023-08-20 15:09:39-05,2023-08-20 15:56:05-05,30,8ebddf7f-7591-49a3-b9da-0a821bafcbe3,5c17d00a-3fa0-4dfe-8d91-514beaadd807,3c90e706-2486-4882-bdc7-5a8325d3c251,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.3,user,5,5,1,2023-08-20 15:10:45-05,285.4,1688.98,0
2f4e3ceb-22da-4e62-bcec-4fcff0dcd186,bdf5ef10-e50a-4816-a355-464a2055bb10,sendit11,2023-04-24 22:41:47-05,2023-09-04 20:40:47-05,2023-09-04 20:41:53-05,2023-09-04 21:30:03-05,30,0366fb20-60db-451d-8b74-f0bef968fb92,170f370c-12c7-48f5-a80a-1b2d0eb0d88b,31456b36-069e-4b7e-aa64-0ed798f66b92,1,Tyreek Hill,84cf37a2-d9f9-4315-a56a-c003a186023d,WR,4.13,user,4,4,1,2023-09-04 20:43:02-05,266.1,1688.76,0
