draft_id,draft_time,clock,tournament_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
b9a5bbb1-3dce-49ca-a3e7-c8cc8902b36b,2021-06-30 13:23:23.831087-05,30,f7fafd2e-a7ce-4167-8b71-890e99fc2005,1,Aaron Jones,RB,13,15.21,7,18,2,153.9,1688.46,1
b5c106a1-9b2f-4c4a-b4bb-a9348b31f8b7,2021-07-21 21:42:47.21413-05,28800,3271eaa4-7765-42bf-8ad1-874cff812065,1,Latavius Murray,RB,8,128.11,9,129,11,51.2,1711.96,1
b9ec99c2-b807-499c-b678-dee2fe2ea38c,2021-05-23 01:06:57.190062-05,30,23d1d89a-18d7-4f39-a911-f157ec7e8e9d,1,Jakobi Meyers,WR,14,202.56,12,204,17,46.5,1726.34,1
ba1e18de-ffdf-4ef9-b871-f501dd0e1aae,2021-09-04 00:34:38.787358-05,30,460a8910-6b0e-45fd-a5a9-d435e7cba632,1,Amon-Ra St. Brown,WR,9,159.53,5,149,13,57.2,1838.96,1
ba247d71-52f9-4128-81b4-7d602c778312,2021-05-16 10:22:55.230064-05,28800,08ef8264-c940-4253-b85f-12ff18c3ac6a,1,Dak Prescott,QB,7,58.44,8,65,6,94.66,1752.24,1
abca4d4d-aa7d-42f7-83da-7adba7fbb8b5,2021-09-04 01:14:03.833612-05,30,79d1b6b9-2193-4d4f-bbd8-67f338b7df92,1,Corey Davis,WR,6,77.11,7,79,7,65.8,1725.12,1
b6edd91b-b37b-4428-96e3-a98bd310a6ed,2021-06-16 20:37:24.817853-05,30,0f270728-5afd-46bc-bf2f-8a00d50eabb9,1,Christian Kirk,WR,12,166.72,8,152,13,95.12,1772.16,1
cbddcd95-43f0-4308-b14b-9cffe3beb648,2021-09-09 17:51:28.34165-05,30,69b909cc-a15f-4153-9843-f8ed4dfb0ca8,1,Damien Williams,RB,10,169.22,7,175,15,29.4,1674.32,1
bfe399b9-28af-462b-bf81-0de3688182fe,2021-09-05 15:05:21.00716-05,30,f74e453b-8eb7-45ca-8366-f9c8cd91fe52,1,Robert Tonyan,TE,13,100.21,8,104,9,33.4,1862.8,1
baf5bdee-8a70-4f98-9430-da354bc7604c,2021-08-21 04:40:25.088181-05,30,33a805b8-5bdf-44d7-8884-c1cc8297b3ff,1,Tee Higgins,WR,10,46.42,4,45,4,125.3,1708.04,1
